app_id: 0, app_name: pulse_doppler_api-x86, task_id: 51, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681268691577, ref_stop_time: 105681268769553, actual_exe_time: 77976, task_app_start_time:105681260255688, task_sched_time:105681268688982
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 52, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681268978427, ref_stop_time: 105681269018973, actual_exe_time: 40546, task_app_start_time:105681260255688, task_sched_time:105681268976804
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 53, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681269094084, ref_stop_time: 105681269155330, actual_exe_time: 61246, task_app_start_time:105681260255688, task_sched_time:105681269091660
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 54, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681269261700, ref_stop_time: 105681269267902, actual_exe_time: 6202, task_app_start_time:105681260255688, task_sched_time:105681269260267
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681269352230, ref_stop_time: 105681269406212, actual_exe_time: 53982, task_app_start_time:105681260255688, task_sched_time:105681269350968
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 56, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681269562546, ref_stop_time: 105681269613402, actual_exe_time: 50856, task_app_start_time:105681260255688, task_sched_time:105681269561143
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 57, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681269682402, ref_stop_time: 105681269718440, actual_exe_time: 36038, task_app_start_time:105681260255688, task_sched_time:105681269681129
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 58, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681269792018, ref_stop_time: 105681269837393, actual_exe_time: 45375, task_app_start_time:105681260255688, task_sched_time:105681269790074
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 59, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681269896425, ref_stop_time: 105681269946900, actual_exe_time: 50475, task_app_start_time:105681260255688, task_sched_time:105681269894401
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 60, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681270130235, ref_stop_time: 105681270161894, actual_exe_time: 31659, task_app_start_time:105681260255688, task_sched_time:105681270127810
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 61, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681270235152, ref_stop_time: 105681270247786, actual_exe_time: 12634, task_app_start_time:105681260255688, task_sched_time:105681270233559
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 62, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681270348976, ref_stop_time: 105681270354116, actual_exe_time: 5140, task_app_start_time:105681260255688, task_sched_time:105681270347894
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 63, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681270425681, ref_stop_time: 105681270434878, actual_exe_time: 9197, task_app_start_time:105681260255688, task_sched_time:105681270423226
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 64, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681270566265, ref_stop_time: 105681270572678, actual_exe_time: 6413, task_app_start_time:105681260255688, task_sched_time:105681270564602
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 65, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681270658509, ref_stop_time: 105681270665432, actual_exe_time: 6923, task_app_start_time:105681260255688, task_sched_time:105681270657157
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 66, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681270735424, ref_stop_time: 105681270741495, actual_exe_time: 6071, task_app_start_time:105681260255688, task_sched_time:105681270732709
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 67, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681270820113, ref_stop_time: 105681270826916, actual_exe_time: 6803, task_app_start_time:105681260255688, task_sched_time:105681270818009
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 68, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681270974504, ref_stop_time: 105681270980876, actual_exe_time: 6372, task_app_start_time:105681260255688, task_sched_time:105681270972911
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 69, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681271053813, ref_stop_time: 105681271062269, actual_exe_time: 8456, task_app_start_time:105681260255688, task_sched_time:105681271051108
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 70, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681271159502, ref_stop_time: 105681271165654, actual_exe_time: 6152, task_app_start_time:105681260255688, task_sched_time:105681271158089
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 71, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681271277344, ref_stop_time: 105681271286120, actual_exe_time: 8776, task_app_start_time:105681260255688, task_sched_time:105681271275731
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 72, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681271444188, ref_stop_time: 105681271452684, actual_exe_time: 8496, task_app_start_time:105681260255688, task_sched_time:105681271441393
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 73, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681271516344, ref_stop_time: 105681271545419, actual_exe_time: 29075, task_app_start_time:105681260255688, task_sched_time:105681271515061
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 74, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681271636821, ref_stop_time: 105681271641529, actual_exe_time: 4708, task_app_start_time:105681260255688, task_sched_time:105681271635077
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 75, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681271709878, ref_stop_time: 105681271718184, actual_exe_time: 8306, task_app_start_time:105681260255688, task_sched_time:105681271707423
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 76, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681271850443, ref_stop_time: 105681271857075, actual_exe_time: 6632, task_app_start_time:105681260255688, task_sched_time:105681271848900
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 77, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681271932908, ref_stop_time: 105681271939911, actual_exe_time: 7003, task_app_start_time:105681260255688, task_sched_time:105681271930614
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 78, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681272013059, ref_stop_time: 105681272018770, actual_exe_time: 5711, task_app_start_time:105681260255688, task_sched_time:105681272011646
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 79, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681272085445, ref_stop_time: 105681272092218, actual_exe_time: 6773, task_app_start_time:105681260255688, task_sched_time:105681272083341
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 80, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681272248542, ref_stop_time: 105681272255114, actual_exe_time: 6572, task_app_start_time:105681260255688, task_sched_time:105681272247129
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 81, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681272358509, ref_stop_time: 105681272367215, actual_exe_time: 8706, task_app_start_time:105681260255688, task_sched_time:105681272357207
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 82, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681272475810, ref_stop_time: 105681272480519, actual_exe_time: 4709, task_app_start_time:105681260255688, task_sched_time:105681272474357
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 83, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681272564467, ref_stop_time: 105681272571029, actual_exe_time: 6562, task_app_start_time:105681260255688, task_sched_time:105681272562633
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 84, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681272732523, ref_stop_time: 105681272740698, actual_exe_time: 8175, task_app_start_time:105681260255688, task_sched_time:105681272730169
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 85, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681272815479, ref_stop_time: 105681272821931, actual_exe_time: 6452, task_app_start_time:105681260255688, task_sched_time:105681272813425
