app_id: 0, app_name: TX_api-x86, task_id: 62, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933406369500, ref_stop_time: 105933406440233, actual_exe_time: 70733, task_app_start_time:105933396325063, task_sched_time:105933406367877
app_id: 0, app_name: TX_api-x86, task_id: 63, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933406588983, ref_stop_time: 105933406647734, actual_exe_time: 58751, task_app_start_time:105933396325063, task_sched_time:105933406586949
app_id: 0, app_name: TX_api-x86, task_id: 64, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933406747492, ref_stop_time: 105933406779883, actual_exe_time: 32391, task_app_start_time:105933396325063, task_sched_time:105933406745849
app_id: 0, app_name: TX_api-x86, task_id: 65, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933406912332, ref_stop_time: 105933406962767, actual_exe_time: 50435, task_app_start_time:105933396325063, task_sched_time:105933406910128
app_id: 0, app_name: TX_api-x86, task_id: 66, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933407085257, ref_stop_time: 105933407136323, actual_exe_time: 51066, task_app_start_time:105933396325063, task_sched_time:105933407082803
app_id: 0, app_name: TX_api-x86, task_id: 67, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933407241261, ref_stop_time: 105933407290594, actual_exe_time: 49333, task_app_start_time:105933396325063, task_sched_time:105933407238997
app_id: 0, app_name: TX_api-x86, task_id: 68, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933407399739, ref_stop_time: 105933407406803, actual_exe_time: 7064, task_app_start_time:105933396325063, task_sched_time:105933407398737
app_id: 0, app_name: TX_api-x86, task_id: 69, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933407526578, ref_stop_time: 105933407575290, actual_exe_time: 48712, task_app_start_time:105933396325063, task_sched_time:105933407524454
app_id: 0, app_name: TX_api-x86, task_id: 70, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933407756741, ref_stop_time: 105933407764326, actual_exe_time: 7585, task_app_start_time:105933396325063, task_sched_time:105933407754828
app_id: 0, app_name: TX_api-x86, task_id: 71, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933407859014, ref_stop_time: 105933407913336, actual_exe_time: 54322, task_app_start_time:105933396325063, task_sched_time:105933407857711
app_id: 0, app_name: TX_api-x86, task_id: 72, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933408039684, ref_stop_time: 105933408109265, actual_exe_time: 69581, task_app_start_time:105933396325063, task_sched_time:105933408038141
app_id: 0, app_name: TX_api-x86, task_id: 73, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933408237827, ref_stop_time: 105933408294684, actual_exe_time: 56857, task_app_start_time:105933396325063, task_sched_time:105933408236635
app_id: 0, app_name: TX_api-x86, task_id: 74, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933408421332, ref_stop_time: 105933408502144, actual_exe_time: 80812, task_app_start_time:105933396325063, task_sched_time:105933408419088
app_id: 0, app_name: TX_api-x86, task_id: 75, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933408629494, ref_stop_time: 105933408732508, actual_exe_time: 103014, task_app_start_time:105933396325063, task_sched_time:105933408627580
app_id: 0, app_name: TX_api-x86, task_id: 76, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933408838948, ref_stop_time: 105933408846573, actual_exe_time: 7625, task_app_start_time:105933396325063, task_sched_time:105933408836424
app_id: 0, app_name: TX_api-x86, task_id: 77, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933408956199, ref_stop_time: 105933408966038, actual_exe_time: 9839, task_app_start_time:105933396325063, task_sched_time:105933408953975
app_id: 0, app_name: TX_api-x86, task_id: 78, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933409103667, ref_stop_time: 105933409151366, actual_exe_time: 47699, task_app_start_time:105933396325063, task_sched_time:105933409101563
app_id: 0, app_name: TX_api-x86, task_id: 79, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933409282724, ref_stop_time: 105933409289476, actual_exe_time: 6752, task_app_start_time:105933396325063, task_sched_time:105933409280339
app_id: 0, app_name: TX_api-x86, task_id: 80, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933409467111, ref_stop_time: 105933409542092, actual_exe_time: 74981, task_app_start_time:105933396325063, task_sched_time:105933409465117
app_id: 0, app_name: TX_api-x86, task_id: 81, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933409649935, ref_stop_time: 105933409658912, actual_exe_time: 8977, task_app_start_time:105933396325063, task_sched_time:105933409648242
app_id: 0, app_name: TX_api-x86, task_id: 82, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933409769009, ref_stop_time: 105933409776172, actual_exe_time: 7163, task_app_start_time:105933396325063, task_sched_time:105933409767035
app_id: 0, app_name: TX_api-x86, task_id: 83, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933409878265, ref_stop_time: 105933409885328, actual_exe_time: 7063, task_app_start_time:105933396325063, task_sched_time:105933409876652
app_id: 0, app_name: TX_api-x86, task_id: 84, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933410026574, ref_stop_time: 105933410035290, actual_exe_time: 8716, task_app_start_time:105933396325063, task_sched_time:105933410024590
app_id: 0, app_name: TX_api-x86, task_id: 85, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933410150667, ref_stop_time: 105933410157380, actual_exe_time: 6713, task_app_start_time:105933396325063, task_sched_time:105933410149145
app_id: 0, app_name: TX_api-x86, task_id: 86, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933410296171, ref_stop_time: 105933410308334, actual_exe_time: 12163, task_app_start_time:105933396325063, task_sched_time:105933410293987
app_id: 0, app_name: TX_api-x86, task_id: 87, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933410498753, ref_stop_time: 105933410513380, actual_exe_time: 14627, task_app_start_time:105933396325063, task_sched_time:105933410497280
app_id: 0, app_name: TX_api-x86, task_id: 88, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933410633256, ref_stop_time: 105933410640239, actual_exe_time: 6983, task_app_start_time:105933396325063, task_sched_time:105933410630711
app_id: 0, app_name: TX_api-x86, task_id: 89, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933410761237, ref_stop_time: 105933410768280, actual_exe_time: 7043, task_app_start_time:105933396325063, task_sched_time:105933410760145
app_id: 0, app_name: TX_api-x86, task_id: 90, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933410951385, ref_stop_time: 105933410965501, actual_exe_time: 14116, task_app_start_time:105933396325063, task_sched_time:105933410949591
app_id: 0, app_name: TX_api-x86, task_id: 91, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933411094714, ref_stop_time: 105933411103140, actual_exe_time: 8426, task_app_start_time:105933396325063, task_sched_time:105933411093713
app_id: 0, app_name: TX_api-x86, task_id: 92, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933411228015, ref_stop_time: 105933411234838, actual_exe_time: 6823, task_app_start_time:105933396325063, task_sched_time:105933411226883
app_id: 0, app_name: TX_api-x86, task_id: 93, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933411351448, ref_stop_time: 105933411362789, actual_exe_time: 11341, task_app_start_time:105933396325063, task_sched_time:105933411350285
app_id: 0, app_name: TX_api-x86, task_id: 94, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933411558227, ref_stop_time: 105933411614974, actual_exe_time: 56747, task_app_start_time:105933396325063, task_sched_time:105933411556183
app_id: 0, app_name: TX_api-x86, task_id: 95, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933411839286, ref_stop_time: 105933411903507, actual_exe_time: 64221, task_app_start_time:105933396325063, task_sched_time:105933411836992
app_id: 0, app_name: TX_api-x86, task_id: 96, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933412042939, ref_stop_time: 105933412102281, actual_exe_time: 59342, task_app_start_time:105933396325063, task_sched_time:105933412041456
app_id: 0, app_name: TX_api-x86, task_id: 97, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933412232346, ref_stop_time: 105933412244960, actual_exe_time: 12614, task_app_start_time:105933396325063, task_sched_time:105933412230592
app_id: 0, app_name: TX_api-x86, task_id: 98, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933412368582, ref_stop_time: 105933412375696, actual_exe_time: 7114, task_app_start_time:105933396325063, task_sched_time:105933412366538
app_id: 0, app_name: TX_api-x86, task_id: 99, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933412531409, ref_stop_time: 105933412540416, actual_exe_time: 9007, task_app_start_time:105933396325063, task_sched_time:105933412529425
